"Carimbo de data/hora","1) O computador que você utiliza para trabalhar é um desktop ou notebook?","2) Seu computador esta conectado no roteador usando Wi-Fi ou Ethernet (cabo par-trançado)?","3) Você utiliza estabilizador para eliminar ruídos/oscilações na rede elétrica?","4) Você utiliza nobreak para manter seu computador funcionando quando acaba energia elétrica?","5) Você utiliza nobreak para manter seu roteador funcionando quando acaba energia elétrica?","6) Quando sua internet cai, você utiliza seu celular para continuar acessando a internet?","7) Você possui um segundo plano de dados (um segundo chip) para usar caso sua internet dê problema?","8) Você possui um segundo link de internet para usar quando sua internet dá problema?","9) Quando sua internet cai, o que você faz?","10) Pensando num período de 3 (três) meses de trabalho, qual a frequência das quedas de energia elétrica onde você mora?","11) Pensando num período de 3 (três) meses de trabalho, qual a frequência das interrupções do serviço de banda larga onde você mora?","12) Qual a modalidade do plano de dados de celular que você utiliza?","13) A sua banda larga chega até sua casa por cabo ou fibra óptica?"
"2023/04/19 9:00:15 AM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/19 9:14:02 AM GMT-3","Notebook","Ethernet","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/19 9:19:59 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Frequentemente","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/19 10:14:07 AM GMT-3","Notebook","Wi-Fi","Não","Sim","Não","Sim","Não","Sim","Utilizo meu segundo link de internet","Nunca","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/19 10:28:24 AM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/19 11:21:56 AM GMT-3","Notebook","Ethernet","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/19 11:53:49 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/19 12:34:00 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/19 1:08:46 PM GMT-3","Desktop","Ethernet","Sim","Sim","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/19 1:56:07 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/19 2:39:05 PM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/19 3:48:10 PM GMT-3","Desktop","Ethernet","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/20 8:22:03 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Cabo"
"2023/04/20 8:29:08 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 8:40:39 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Raramente","Raramente","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/20 9:02:43 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 9:03:02 AM GMT-3","Notebook","Wi-Fi","Sim","Sim","Não","Sim","Sim","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 9:14:25 AM GMT-3","Notebook","Ethernet","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 9:21:17 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu segundo plano de dados (segundo chip)","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 9:21:57 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Nunca","Nunca","Pós-pago (pago apenas o que usar no mês)","Fibra óptica"
"2023/04/20 9:29:16 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 9:35:52 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/20 9:52:31 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 9:54:13 AM GMT-3","Notebook","Ethernet","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 10:24:28 AM GMT-3","Notebook","Wi-Fi","Sim","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/20 10:49:59 AM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Sim","Não","Utilizo meu celular","Frequentemente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 10:50:20 AM GMT-3","Notebook","Wi-Fi","Não","Não","Sim","Sim","Sim","Sim","Utilizo meu segundo link de internet","Frequentemente","Frequentemente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 11:46:42 AM GMT-3","Notebook","Ethernet","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 11:51:35 AM GMT-3","Notebook","Ethernet","Sim","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 11:56:07 AM GMT-3","Desktop","Ethernet","Sim","Não","Não","Sim","Não","Não","Utilizo meu celular","Frequentemente","Frequentemente","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/20 12:04:48 PM GMT-3","Notebook","Ethernet","Não","Não","Sim","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 12:10:29 PM GMT-3","Notebook","Wi-Fi","Não","Não","Sim","Sim","Não","Não","Utilizo meu celular","Raramente","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 12:49:30 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Cabo"
"2023/04/20 1:30:05 PM GMT-3","Notebook","Ethernet","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:02:08 PM GMT-3","Notebook","Wi-Fi","Não","Não","Sim","Não","Não","Não","Fico sem conexão até a internet voltar","Nunca","Raramente","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:08:19 PM GMT-3","Notebook","Wi-Fi","Não","Não","Não","Não","Não","Não","Fico sem conexão até a internet voltar","Nunca","Nunca","Controle (todo mês pago um valor fixo)","Fibra óptica"
"2023/04/20 2:22:08 PM GMT-3","Notebook","Ethernet","Não","Não","Não","Sim","Não","Não","Utilizo meu celular","Raramente","Frequentemente","Controle (todo mês pago um valor fixo)","Fibra óptica"
